experiment_name,transfer_type,topology,inertia_strategy,init_strategy,seed,accuracy,fitness,num_features,runtime_seconds
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,42,0.709675735087666,0.6934224472931851,317,137.91878986358643
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,43,0.7166426117222967,0.6998354934072099,316,237.2430248260498
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,44,0.6879983142891697,0.678484197145967,285,138.67046689987183
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,45,0.710965458378553,0.696297483969269,305,246.8475775718689
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,46,0.7179324682077814,0.702853507101289,303,246.24873065948486
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,47,0.7104495957011177,0.6949760647024346,311,179.45903491973877
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,48,0.7153539539881926,0.6986757014465161,316,224.7716784477234
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,49,0.7179356648781297,0.7024278126760309,306,236.95617580413818
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,50,0.7249026747073581,0.7065552643794795,321,273.2907292842865
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,51,0.7158700830548235,0.6965687890350554,334,262.92746329307556
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,52,0.7236122854434821,0.706393914041991,314,288.1040472984314
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,53,0.7166446096412644,0.7018372915342809,302,231.357812166214
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,54,0.7065773623527067,0.6956339118317219,282,194.2153525352478
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,55,0.7259321357540651,0.7089103507500872,311,246.51078605651855
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,56,0.7073534872743217,0.6959038528326038,285,202.0572967529297
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,57,0.7148356938079963,0.7024949815700539,286,140.09769463539124
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,58,0.725676402126212,0.7078230476278765,317,263.3564383983612
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,59,0.7223208306228233,0.7060887475605409,308,268.66737699508667
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,60,0.7194827201320437,0.7043915909759823,302,233.13219165802002
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,61,0.7153520892638228,0.7029597374802977,286,221.21507620811462
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,62,0.7179340665429554,0.7044263741743741,292,224.84534096717834
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,63,0.693159072177087,0.6841288792450927,278,180.58834981918335
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,64,0.696257711301242,0.6860605115996893,284,161.3703064918518
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,65,0.6895488326026278,0.6788796636280793,292,137.892160654068
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,66,0.7269642606927291,0.7081249774805991,323,249.40682554244995
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,67,0.7223212302066168,0.7075176786145265,298,169.44525909423828
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,68,0.7166459415872428,0.6975527759999471,332,279.0878539085388
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,69,0.7264514614910442,0.7106634581990826,302,284.5036904811859
EXP-P2_topology_gbest,sigmoid,gbest,linear_decay,sparse,70,0.723870016990303,0.7049115867198441,326,270.3181064128876
